fecha,01:30,10:30,13:30,22:30
2020-08-04,-1.813738382099798,1.1818416523236044,3.913752212389413,-1.1842994836488534
2020-08-12,-4.855597246127345,0.5077211703958987,3.950633390705714,-4.561311531841623
2020-08-20,-0.9864337349397342,5.830860585197966,12.390991394148053,-0.4429225473321573
2020-08-28,-1.7632736660929125,5.201497418244442,10.668932874354589,-1.898234079173808
2020-09-05,-0.9926506024096112,7.112512908778001,11.97287091222034,-0.6399896729775952
2020-09-13,-0.7637142857142541,10.19739414802069,14.586103270223784,-0.278027538726311
2020-09-21,1.4351290877797265,13.996567986230668,19.87428915662654,1.959370051635137
2020-09-29,-1.8708330464715748,11.424444061962172,15.318984509466466,-2.5791084337349104
2020-10-07,2.0571462994836813,19.026929432013805,22.87532874354564,3.393111876075771
2020-10-15,4.520746987951837,22.596912220309832,26.39521858864032,5.829043029259929
2020-10-23,2.0371118760757643,20.482488812392457,24.458089500860613,3.142406196213453
2020-10-31,5.991087779690218,25.197194492254773,28.98184853700521,7.672347676419998
2020-11-08,6.110440619621376,23.48663339070571,26.58843717728059,6.9623235800344485
2020-11-16,6.87923924268505,25.87736660929436,28.01109466437181,8.795542168674727
2020-11-24,4.211266781411389,23.621146299483687,25.934895008605885,5.802537005163539
2020-12-02,6.850963855421724,26.35152839931156,31.71762134251295,8.348388984509498
2020-12-10,3.908643717728087,23.008616179001752,26.68750086058523,4.822261617900201
2020-12-18,6.45422719449229,26.21691222030984,30.685311531841684,8.503335628227218
2020-12-26,8.417256454389012,26.21011015490537,34.64060929432017,9.807259896729818
2021-01-01,9.090950086058552,28.34927710843376,33.49723580034425,10.148774526678173
2021-01-09,4.671762478485395,20.373848537005195,27.52798967297765,6.364588640275418
2021-01-17,12.120278829604162,31.72622719449229,38.266000000000034,14.303094664371798
2021-01-25,7.242275387263363,25.991400587659196,32.45229634381018,8.189889845094696
2021-02-02,12.223177280550804,28.66843717728059,35.97594836488817,13.935962134251316
2021-02-10,11.462502581755626,25.763728055077483,31.72614457831328,13.09286402753875
2021-02-18,7.6640309810671665,23.281786574870942,31.219982788296075,9.003645438898486
2021-02-26,12.559893287435488,26.70194492254736,33.188017211703986,14.025201376936348
2021-03-06,8.841339070568015,25.11647160068849,32.67563166953532,10.351294320137727
2021-03-14,6.533717728055109,23.433580034423443,30.54306712564547,7.403893287435486
